englisch,deutsch
actually,wirklich  eigentlich  tats�chlich
advance,Fortschritt
ages,Ewigkeit
astrologer,Astrologe  Astrologin
ambition,Ehrgeiz; Zielsetzung  Ambition
arrangement,Abmachung  Vereinbarung
awkward,peinlich  unbehaglich  unangenehm
be off to,aufbrechen  weggehen
blaze,Brand
boomerang,Bumerang
borrow,borgen  ausleihen
chilly,k�hl
chore,Hausarbeit
commitment,Hingabe; Bindung
consumer goods,Konsumg�ter
convinced,�berzeugt
currently,aktuell
debt,Schulden
defensive,defensiv
desire,Verlangen  Wunsch
differ,sich unterscheiden
discount,untersch�tzen
due,f�llig
earn,verdienen
eat out,ausw�rts essen
embarrassed,verlegen besch�mt
empty nester,Elternteil  dessen Kinder das Heim verlassen haben
enquiry,Anfrage
estate agent,Immobilienmakler/in
evidence ,Beweis  Hinweis  Anzeichen
excerpt,Auszug
faith,Glaube  Religion
fasten,anschnallen  festmachen
flee,fl�chten
flight attendant,Flugbegleiter/in
fool,Narr  Dummkopf
fortune teller,Wahrsager/in
get on sb's nerves,jmd. auf die Nerven gehen
give sb a lift / give sb a ride,jmd. mitnehmen; jmd. mitfahren lassen
graduate,die Schule/Universit�t abschliessen
take charge of sth,Verantwortung  Leitung �bernehmen
impressive,eindr�cklich  beeindruckend
intuition,Intuition
landlord / landlady,Vermieter / Vermieterin
legacy,Erbschaft  Verm�chtnis
leap,springen  h�pfen
leap,Sprung
lend,verleihen  ausleihen
look after sb,sich k�mmern um
look forward to (+ing form),sich freuen auf
look into sth,untersuchen  pr�fen
move out,ausziehen
obsessive,obsessiv  besessen  zwanghaft
offence,Beleidigung; Straftat
operator,Vermittlung
overstated,�berbewertet
owe,schulden
pedestal,Podest
percentage,Anteil  Prozentsatz
perception,Wahrnehmung  Sichtweise
prediction,Vorhersage  Voraussage
preserve,bewahren
pressure,Druck
previously,vorher  zuvor
pride,Stolz
put sb down,kritisieren  runtermachen
put sb off,jmd. abschrecken
put sth away,wegr�umen  aufr�umen  wegstellen
put sth on,anmachen; anziehen
put sth out,l�schen; herausgeben; bereitstellen
put up with,tolerieren  aushalten
query,Frage
reckon,meinen
rent,Miete
resign,k�ndigen  zur�cktreten
retired,pensioniert
rooted,verwurzelt
seat belt,Sicherheitsgurt
shelter,Unterkunft; Zuflucht
single parent,Alleinerziehende/r
shoot for the moon,nach den Sternen greifen; sich Grosses vornehmen
seek (sought  sought),suchen
spontaneous,spontan
standstill,Stillstand
suggestion,Vorschlag
suspect,verd�chtigen  einen Verdacht hegen
sword,Schwert
take sb on,einstellen; sich jmd. stellen
take sth back,zur�cknehmen
take sth in,aufnehmen
take sth up,beginnen mit
take a day  a week etc. off,freinehmen
take off,abheben; ausziehen; Erfolg haben
take over,die F�hrung �bernehmen
take sth for granted,etw. f�r selbstverst�ndlich halten
take to sb,jmd. sympathisch finden
take issue with sb/sth,nicht einverstanden sein
timetable,Stundenplan  Fahrplan
turbulence,Turbulenz
upright,aufrecht
view,betrachten  anschauen
volume,Volumen  Ausmass
appointment,Termin
decision,Entscheidung
offer,Angebot
order,bestellen
promise,versprechen
swear,schw�ren
suppose,annehmen  vermuten  glauben
intention,Absicht  Vorhaben
refusal,Ablehnung  Zur�ckweisung  Verweigerung
schedule,Zeitplan  Fahrplan
by the time,wenn (zeitl.)  sobald
as soon as,sobald (als/wie)
I beg to differ,Ich bin anderer Ansicht
run into debt,sich in Schulden st�rzen  sich stark verschulden
discount,Rabatt  Preisnachlass
realtor (US) / real estate agent (US),Immobilienmakler*in  Grundst�ckmakler*in
look for sb/sth,nach jdm/etw suchen
look out for sb/sth,nach etw ausschau halten
overrated,�berbewertet  �bersch�tzt
put sb up to sth,jdn anstiften
put sb up,jdn unterbringen
put sth off,etw verschieben
take after sb,jdn �hneln  nach jdm kommen
